name,closed,lat,lng,city,state,url,forecast_url
Spirit Mountain,true,46.71944,-92.21806,Duluth,Minnesota,http://www.spiritmt.com,"https://api.weather.gov/gridpoints/DLH/87,66/forecast"
Welch Village,false,44.56056,-92.72722,Welch,Minnesota,,"https://api.weather.gov/gridpoints/MPX/126,52/forecast"
Wild Mountain,false,45.48889,-92.70556,Taylors Falls,Minnesota,http://www.wildmountain.com/,"https://api.weather.gov/gridpoints/MPX/126,95/forecast"
Hidden Valley Ski Area,false,38.535578,-90.65287,Hidden Valley,Missouri,,"https://api.weather.gov/gridpoints/LSX/78,69/forecast"
Snow Creek,false,39.468651,-94.971964,,Missouri,http://www.skisnowcreek.com/,"https://api.weather.gov/gridpoints/EAX/29,66/forecast"
Bottineau Winter Park,false,48.951,-100.473,Bottineau Winter Park,North Dakota,,"https://api.weather.gov/gridpoints/BIS/124,148/forecast"
Frost Fire Park,true,48.912,-98.068,Walhalla,North Dakota,http://www.frostfirepark.org,"https://api.weather.gov/gridpoints/FGF/60,154/forecast"
Huff Hills,false,46.62694,-100.72333,Ski Lodge,North Dakota,,"https://api.weather.gov/gridpoints/BIS/111,37/forecast"
Alpine Valley Ski Area,true,41.5303,-81.2662,Chesterland,Ohio,http://www.alpinevalleyohio.com/,"https://api.weather.gov/gridpoints/CLE/97,67/forecast"
Boston Mills/Brandywine Ski Resort,true,41.26417,-81.565,Boston Mills Ski Lodge,Ohio,http://www.bmbw.com,"https://api.weather.gov/gridpoints/CLE/88,54/forecast"
Mad River Mountain,false,40.3163167,-83.6805639,Valley Hi,Ohio,http://www.skimadriver.com/,"https://api.weather.gov/gridpoints/ILN/59,94/forecast"
Mystic Miner Ski Resort,false,44.3084333,-103.8184417,,South Dakota,,"https://api.weather.gov/gridpoints/UNR/77,69/forecast"
Great Bear Recreation Park,true,43.5821,-96.6649667,Sioux Falls,South Dakota,http://www.greatbearpark.com,"https://api.weather.gov/gridpoints/FSD/100,66/forecast"
Terry Peak,true,44.329,-103.835,,South Dakota,http://www.terrypeak.com/,"https://api.weather.gov/gridpoints/UNR/77,70/forecast"
Alpine Valley Resort,true,42.736,-88.428,Alpine Valley Resort,Wisconsin,http://www.alpinevalleyresort.com,"https://api.weather.gov/gridpoints/MKX/70,49/forecast"
Cascade Mountain,true,43.5039278,-89.5180167,Peak Lodge,Wisconsin,http://www.cascademountain.com/,"https://api.weather.gov/gridpoints/MKX/32,83/forecast"
Devil's Head Resort,true,43.42306,-89.62694,Devil's Head Resort,Wisconsin,https://www.devilsheadresort.com/ski-resort-mountain-sauk-merrimac-wi-wisconsin/,"https://api.weather.gov/gridpoints/MKX/29,79/forecast"
Granite Peak Ski Area,true,44.92861,-89.6825,Rib Mountain,Wisconsin,http://www.skigranitepeak.com/,"https://api.weather.gov/gridpoints/GRB/22,48/forecast"
Kettlebowl,false,45.271323,-88.90197883,Kettlebowl Ski Hill & Cross-country Trails,Wisconsin,,"https://api.weather.gov/gridpoints/GRB/47,65/forecast"
Telemark Lodge,false,46.190056,-91.247639,,Wisconsin,,"https://api.weather.gov/gridpoints/DLH/120,42/forecast"
Trollhaugen,false,45.35125,-92.61801,Dresser,Wisconsin,,"https://api.weather.gov/gridpoints/MPX/129,89/forecast"
Tyrol Basin,false,43.04,-89.77,Town of Vermont,Wisconsin,http://tyrolbasin.com,"https://api.weather.gov/gridpoints/MKX/24,61/forecast"
Wilmot Mountain,false,42.5,-88.18889,Town of Randall,Wisconsin,http://www.wilmotmountain.com,"https://api.weather.gov/gridpoints/MKX/79,39/forecast"
Arizona Snowbowl,false,35.33,-111.705,Arizona Snowbowl,Arizona,http://www.arizonasnowbowl.com,"https://api.weather.gov/gridpoints/FGZ/72,94/forecast"
Mount Lemmon Ski Valley,true,32.45222,-110.78389,,Arizona,http://www.skithelemmon.com/,"https://api.weather.gov/gridpoints/TWC/98,57/forecast"
Sunrise Park Resort,false,33.97333,-109.56472,Sunrise Park Resort,Arizona,https://sunrise.ski/,"https://api.weather.gov/gridpoints/FGZ/142,25/forecast"
Arapahoe Basin,false,39.64167,-105.87167,The Goat,Colorado,http://arapahoebasin.com,"https://api.weather.gov/gridpoints/BOU/31,58/forecast"
Aspen Highlands,false,39.18111,-106.85639,Aspen Highlands (Aspen Snowmass),Colorado,http://www.aspensnowmass.com,"https://api.weather.gov/gridpoints/GJT/154,101/forecast"
Aspen Mountain,false,39.18639,-106.81861,Rooftop Pool,Colorado,http://www.aspensnowmass.com,"https://api.weather.gov/gridpoints/GJT/155,101/forecast"
Buttermilk,false,39.205,-106.86056,,Colorado,http://www.aspensnowmass.com,"https://api.weather.gov/gridpoints/GJT/154,102/forecast"
